Company,Product,TypeName,Inches,Ram,OS,Weight,Price_Tsh,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,8,Windows 10,2.5,3605250,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,1025971.5,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Intel,HD Graphics 505
HP,EliteBook x360,2 in 1 Convertible,13.3,16,Windows 10,1.28,5628750,Full HD,1920,1080,Yes,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620
Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2.2,2972550,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Nvidia,GeForce 930M
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,Windows 10,2.3,2334150,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce 940MX
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,1336650,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,8,Windows 10,1.1,2847150,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.21,7122150,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620
MSI,GE63VR 7RF,Gaming,15.6,16,Windows 10,2.8,5982150,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,8,Windows 10,2.23,1336650,Full HD,1920,1080,No,No,No,AMD,2.2,A8-Series 7410,256,0,SSD,No,AMD,Radeon R5
Asus,VivoBook Flip,2 in 1 Convertible,11.6,2,Windows 10,1.1,783750,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.33,2405400,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
HP,Spectre x360,2 in 1 Convertible,13.3,16,Windows 10,1.29,6979650,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620
Lenovo,ThinkPad 13,Notebook,13.3,4,Chrome OS,1.45,1310715,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core 3855U,16,0,Flash Storage,No,Intel,HD Graphics 510
HP,ProBook 640,Notebook,14,8,Windows 10,1.95,2793000,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Acer,TravelMate B,Notebook,11.6,4,Windows 10,1.4,1382250,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,128,0,Flash Storage,No,Intel,HD Graphics 405
HP,Elitebook 840,Notebook,14,8,Windows 10,1.48,3682200,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,4,Windows 10,2.79,1678650,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 920MX
Asus,ZenBook UX410UA-GV183T,Notebook,14,8,Windows 10,2,3117900,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,2570700,Full HD,1366,768,No,Yes,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Intel,UHD Graphics 620
Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,1878150,Standard,1366,768,No,No,No,AMD,2.7,A12-Series 9720P,256,0,SSD,No,AMD,Radeon RX 540
Lenovo,IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,832200,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire E5-575,Notebook,15.6,6,Windows 10,2.23,1564650,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Asus,VivoBook S15,Ultrabook,15.6,8,Windows 10,1.7,2992215,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX
HP,Elitebook 820,Ultrabook,12.5,8,Windows 10,1.26,3804750,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Dell,XPS 15,Notebook,15.6,32,Windows 10,2.06,7521150,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,1024,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GL72M 7REX,Gaming,17.3,8,Windows 10,2.7,3417150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2,2687550,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,8,Windows 10,2,3801900,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,1024,SSD,HDD,Intel,HD Graphics 620
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.85,1279650,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,Windows 10,2.5,2847150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
HP,EliteBook 840,Notebook,14,8,Windows 10,1.48,3613800,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 7570,Ultrabook,15.6,8,Windows 10,1.9,2989650,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 940MX
HP,Elitebook 850,Notebook,15.6,8,Windows 10,1.84,3260400,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,Linux,2,783721.5,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7570,Notebook,15.6,8,Windows 10,2,3256837.5,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 940MX
Dell,Inspiron 3552,Notebook,15.6,4,Linux,2.2,783465,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,12,Windows 10,2.2,2562150,Full HD,1920,1080,No,No,No,AMD,3.6,A12-Series 9720P,2048,0,HDD,No,AMD,Radeon 530
HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,2040600,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 930MX 
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,Windows 10,1.4,5982150,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,4500150,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.4,3217650,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
HP,Stream 14-AX001nv,Notebook,14,2,Windows 10,1.44,795150,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400
Dell,Latitude 5590,Ultrabook,15.6,16,Windows 10,1.88,4582686,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,512,256,SSD,SSD,Intel,UHD Graphics 620
Asus,VivoBook Flip,2 in 1 Convertible,11.6,4,Windows 10,1.5,1068750,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Dell,Inspiron 5570,Ultrabook,15.6,8,Windows 10,1.9,1889550,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 530
Dell,XPS 15,Notebook,15.6,16,Windows 10,2.06,5778147,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
HP,Elitebook 850,Notebook,15.6,8,Windows 10,1.84,3716400,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
MSI,GP72MVR 7RFX,Gaming,17.3,8,Windows 10,2.7,4015650,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
HP,Zbook 15,Workstation,15.6,8,Windows 10,2.6,4954069.5,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Toshiba,Tecra A50-C-21G,Notebook,15.6,16,Windows 10,2.4,3998550,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Nvidia,GeForce 930M
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,2767065,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,2048,SSD,HDD,AMD,Radeon 530
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,917671.5,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,2847150,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.36,1588504.5,Standard,1366,768,Yes,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620
Dell,Latitude 7480,Notebook,14,8,Windows 10,1.36,4066950,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,15.6,4,Windows 10,1.86,1251150,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Asus,Zenbook UX410UA-GV027T,Notebook,14,8,Windows 10,2,2693250,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,2049150,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce GTX 940MX
HP,250 G6,Notebook,15.6,8,Windows 10,1.86,1821150,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,No OS,2.2,1422150,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Nvidia,GeForce 920MX 
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,Windows 10,2.04,1108650,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,2048,0,HDD,No,Intel,HD Graphics 405
Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,3092250,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,2305650,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Dell,Inspiron 5567,Notebook,15.6,8,Windows 10,2.33,2562150,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,Elitebook 1040,Ultrabook,14,8,Windows 10,1.36,4987500,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Asus,ZenBook Flip,2 in 1 Convertible,15.6,12,Windows 10,2.26,3132150,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,2048,SSD,HDD,Nvidia,GeForce GT 940MX
Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,1214100,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,128,0,SSD,No,AMD,Radeon R5
Asus,Rog Strix,Gaming,17.3,16,Windows 10,3.25,6267150,Full HD,1920,1080,No,Yes,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,4,Windows 10,2.6,1393650,Standard,1600,900,No,No,No,AMD,2.2,A8-Series 7410,128,0,SSD,No,AMD,Radeon R5
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,2476678.5,Full HD,1920,1080,Yes,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,1393621.5,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5
Lenovo,Yoga 11e,Netbook,11.6,4,Windows 10,1.59,1576050,Standard,1366,768,No,Yes,No,Intel,1.1,Celeron Quad Core N3450,128,0,SSD,No,Intel,HD Graphics 500
Dell,Inspiron 3552,Notebook,15.6,4,Windows 10,1.8,880650,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
Asus,VivoBook E403NA,Notebook,14,4,Windows 10,1.5,815100,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire 7,Notebook,15.6,8,Linux,2.4,2411100,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
HP,Omen 17-w212nv,Gaming,17.3,8,Windows 10,3.35,3394350,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,No OS,1.85,1149975,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
Asus,ROG Strix,Gaming,15.6,8,Windows 10,2.3,4716750,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060
Lenovo,IdeaPad 720S-14IKB,Notebook,14,8,Windows 10,1.5,3132150,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX
Asus,Zenbook Flip,Ultrabook,13.3,16,Windows 10,1.1,4984365,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad X1,Ultrabook,14,8,Windows 10,1.13,6503700,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,4,Windows 10,1.5,1564650,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,128,0,SSD,No,Intel,HD Graphics 620
Dell,Precision 3510,Workstation,15.6,8,Windows 10,2.23,3901650,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 6440HQ,500,0,HDD,No,AMD,FirePro W5130M
Dell,Precision 5520,Workstation,15.6,8,Windows 10,2,6084750,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,ThinkPad X1,2 in 1 Convertible,14,16,Windows 10,1.42,7150650,Standard,2560,1440,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Asus,Rog GL753VD-GC042T,Gaming,17.3,8,Windows 10,3,2961150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050
Asus,Rog GL753VE-GC070T,Gaming,17.3,16,Windows 10,3,4534350,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Acer,Aspire 5,Notebook,15.6,12,Windows 10,2.2,1977871.5,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce MX130
MSI,Leopard GP72M,Gaming,17.3,8,Windows 10,2.7,3844650,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5567,Notebook,15.6,8,Linux,2.33,2219779.5,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,Windows 10,1.91,1422150,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon 520
Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,3504246,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,ThinkPad L470,Notebook,14,8,Windows 10,1.9,2673300,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Precision M5520,Workstation,15.6,8,Windows 10,1.78,7729200,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad X1,Ultrabook,14,16,Windows 10,1.13,7481250,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,872100,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,Windows 10,2.9,4357650,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050
Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,3261825,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,1024,SSD,HDD,AMD,Radeon RX 550
Acer,Aspire 7,Notebook,15.6,8,Linux,2.5,2505150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050
MSI,GE73VR 7RF,Gaming,17.3,16,Windows 10,2.8,6409650,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Asus,Zenbook 3,Ultrabook,14,8,Windows 10,1.1,5338050,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,4978950,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520
Dell,Latitude 7480,Ultrabook,14,8,Windows 10,1.36,4788000,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Intel,HD Graphics
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,Windows 10,2.2,1165650,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Lenovo,Lenovo IdeaPad,Notebook,11.6,2,Windows 10,1.15,867682.5,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500
Lenovo,ThinkPad P51,Workstation,15.6,8,Windows 10,2.67,5486250,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,Quadro M1200
Lenovo,Thinkpad T470p,Ultrabook,14,8,Windows 10,1.7,5537550,Full HD,2560,1440,No,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GT 940MX
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,2.1,1336650,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,AMD,Radeon 520
Acer,Aspire R7,2 in 1 Convertible,13.3,8,Windows 10,1.6,2248678.5,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.27,2644800,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.3,1706865,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430
Dell,Latitude 3380,Notebook,13.3,4,Windows 10,1.65,1963650,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
HP,EliteBook 1040,Ultrabook,14,8,Windows 10,1.43,4275000,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520
Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.14,1538857.5,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
Lenovo,ThinkPad E480,Ultrabook,14,8,Windows 10,1.75,3463833,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16,Windows 10,2,5412150,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050
Chuwi,LapBook 12.3,Notebook,12.3,6,Windows 10,1.4,1279650,Standard,2736,1824,No,Yes,Yes,Intel,1.1,Celeron Quad Core N3450,64,0,Flash Storage,No,Intel,HD Graphics 500
HP,ProBook 650,Notebook,15.6,8,Windows 10,2.31,4066950,Full HD,1920,1080,No,No,No,Intel,2.9,Core i7 7820HQ,256,0,SSD,No,Intel,HD Graphics 630
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,1701450,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX
Dell,Alienware 17,Gaming,17.3,16,Windows 10,4.42,7977150,Standard,2560,1440,No,Yes,No,Intel,2.9,Core i7 7820HK,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.62,3303150,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti
Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,3255840,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530
Dell,Latitude 5480,Ultrabook,14,8,Linux,1.6,3132150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620
HP,Omen 17-w207nv,Gaming,17.3,12,Windows 10,3.35,5697150,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,4,Windows 10,1.16,852150,Full HD,1920,1080,Yes,Yes,No,Intel,1.1,Celeron Dual Core N3350,32,0,SSD,No,Intel,HD Graphics 500
Samsung,Chromebook 3,Netbook,11.6,4,Chrome OS,1.15,766650,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400
Lenovo,Thinkpad 13,Notebook,13.3,8,Windows 10,1.4,2878500,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620
Lenovo,IdeaPad 320s-14IKB,Notebook,14,4,Windows 10,1.7,1707150,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,128,0,SSD,No,Intel,HD Graphics 620
Lenovo,Thinkpad T570,Workstation,15.6,16,Windows 10,2.3,6968250,4K Ultra HD,3840,2160,No,Yes,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Nvidia,GeForce 940MX
Lenovo,Thinkpad P51,Notebook,15.6,16,Windows 10,2.5,6979650,Full HD,1920,1080,No,No,No,Intel,2.9,Core i7 7820HQ,512,0,SSD,No,Nvidia,Quadro M2200M
Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,4830750,Full HD,1920,1080,No,No,No,AMD,3.2,Ryzen 1600,256,1024,SSD,HDD,AMD,Radeon RX 580
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,4,Windows 10,2.1,988950,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400
Google,Pixelbook (Core,Ultrabook,12.3,16,Chrome OS,1.1,6267150,Standard,2400,1600,Yes,No,No,Intel,1.3,Core i7 7Y75,512,0,SSD,No,Intel,HD Graphics 615
Lenovo,ThinkPad T470s,Ultrabook,14,24,Windows 10,1.32,6788700,Standard,2560,1440,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620
Asus,VivoBook Max,Notebook,15.6,4,Linux,2,1593150,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
